City,Age,Salary,Eligible for bonus
Tokyo,68,,
Singapore,67,,
Singapore,,92291,
Mumbai,35,,
Tokyo,35,110666,Yes
Singapore,63,68536,No
Tokyo,69,88533,No
NewYork,25,,
Mumbai,,110526,
Mumbai,31,87607,Yes
Mumbai,,62917,
Mumbai,46,59838,No
Mumbai,51,,
Mumbai,62,47355,No
Mumbai,41,38151,No
Singapore,52,91035,No
Mumbai,56,111143,No
Mumbai,58,,
Singapore,65,75038,No
Mumbai,68,88474,No
Tokyo,30,90098,Yes
Singapore,,113812,
NewYork,50,94243,No
Tokyo,27,,
NewYork,35,,
Mumbai,,59522,
Singapore,69,64869,No
Tokyo,51,,
NewYork,,69842,
NewYork,22,,
NewYork,33,,
Mumbai,,,
NewYork,51,101406,No
Tokyo,64,84199,No
Singapore,,99971,
NewYork,32,81943,Yes
Tokyo,67,,
Mumbai,31,111314,Yes
NewYork,,,
NewYork,19,113127,Yes
Mumbai,26,,
NewYork,23,118728,Yes
Mumbai,40,31468,No
Tokyo,33,41630,Yes
Singapore,44,75631,No
Mumbai,,54175,
Tokyo,47,102985,No
NewYork,54,81769,No
NewYork,,64543,
Tokyo,66,116935,No
Singapore,54,49928,No
Mumbai,24,111138,Yes
Singapore,,53053,
Tokyo,64,119709,No
Tokyo,28,113657,Yes
Tokyo,39,105775,Yes
Singapore,,57396,
NewYork,37,,
Mumbai,43,43925,No
Singapore,43,45512,No
NewYork,40,55372,No
Tokyo,17,91991,Yes
Tokyo,62,84940,No
Mumbai,,75726,
NewYork,42,,
NewYork,48,87795,No
NewYork,63,108724,No
Mumbai,65,33037,No
Tokyo,64,119434,No
Mumbai,57,88723,No
NewYork,43,59338,No
NewYork,,75236,
Tokyo,64,94464,No
Singapore,,,
Singapore,47,55772,No
Tokyo,,76732,
Singapore,,,
Singapore,,48224,
Mumbai,49,,
Mumbai,50,,
NewYork,59,45999,No
Singapore,44,50173,No
Mumbai,,41523,
Tokyo,25,63801,Yes
Tokyo,41,51802,No
NewYork,66,,
Mumbai,25,111940,Yes
Mumbai,30,87412,Yes
Tokyo,53,47649,No
Mumbai,64,95543,No
Singapore,68,107090,No
Tokyo,28,44567,Yes
Singapore,44,79958,No
NewYork,42,96127,No
Singapore,38,95333,Yes
NewYork,20,,
NewYork,67,96229,No
Mumbai,55,,
Singapore,37,,
NewYork,,89157,
Singapore,21,,
Singapore,62,32726,No
Mumbai,44,92874,No
Mumbai,20,32189,No
Mumbai,60,31659,No
Tokyo,56,86774,No
Mumbai,,36239,
NewYork,34,71167,Yes
Mumbai,67,,
Singapore,65,115071,No
Singapore,48,,
Tokyo,48,,
Mumbai,55,,
Singapore,68,30879,No
NewYork,21,52128,Yes
NewYork,48,42573,No
Tokyo,23,78607,Yes
Tokyo,45,90195,No
Singapore,,108988,
NewYork,70,53591,No
Singapore,64,66319,No
NewYork,,,
Mumbai,44,58513,No
Mumbai,62,97694,No
Mumbai,26,65113,Yes
NewYork,53,,
Tokyo,47,68213,No
Mumbai,26,78606,Yes
Singapore,53,70760,No
Tokyo,25,106172,Yes
NewYork,,,
Singapore,28,94492,Yes
NewYork,63,,
Tokyo,46,69484,No
Tokyo,44,,
Mumbai,,101666,
Tokyo,21,,
NewYork,,93250,
NewYork,69,50186,No
Tokyo,21,72538,Yes
Singapore,,98061,
Tokyo,52,77819,No
Tokyo,,49267,
Mumbai,,106762,
Tokyo,62,42052,No
Mumbai,,114543,
Mumbai,59,73249,No
NewYork,64,115575,No
Tokyo,46,79571,No
Singapore,17,55529,Yes
Mumbai,,,
Singapore,20,99786,Yes
Singapore,,55800,
Mumbai,,68739,
Mumbai,41,71493,No
Tokyo,,91164,
Singapore,16,99479,Yes
Singapore,47,36491,No
Tokyo,,41695,
Tokyo,63,,
Tokyo,44,,
Tokyo,,119770,
Singapore,,49870,
Tokyo,70,,
Singapore,68,81777,No
Mumbai,49,,
Tokyo,,70226,
Singapore,57,54196,No
Mumbai,19,67487,Yes
NewYork,,,
Singapore,51,40608,No
Tokyo,56,37229,No
Mumbai,,,
Tokyo,,69434,
Tokyo,62,,
Mumbai,,,
NewYork,32,115247,Yes
Tokyo,41,48042,No
Singapore,63,57988,No
NewYork,32,32145,No
Singapore,68,59256,No
Singapore,39,93999,Yes
Singapore,62,107995,No
NewYork,21,75589,Yes
NewYork,20,35982,No
NewYork,25,65214,Yes
Singapore,58,53375,No
Tokyo,18,103956,Yes
Singapore,22,82315,Yes
NewYork,,38475,
Tokyo,60,65734,No
Singapore,37,59837,Yes
Tokyo,51,81978,No
Singapore,16,77754,Yes
Singapore,49,81029,No
Mumbai,44,91029,No
Tokyo,51,115984,No
Singapore,17,78630,Yes
NewYork,28,,
Singapore,,85418,
NewYork,16,49135,Yes
Mumbai,21,108724,Yes
Tokyo,,109336,
Tokyo,24,,
Mumbai,44,,
Singapore,55,57204,No
NewYork,53,80348,No
Singapore,47,102576,No
Mumbai,69,107610,No
Mumbai,51,,
Singapore,49,,
Tokyo,,30607,
Mumbai,66,69708,No
Tokyo,18,82454,Yes
Tokyo,,48303,
Tokyo,25,37974,No
Tokyo,21,110032,Yes
Singapore,64,98974,No
NewYork,,113217,
Tokyo,39,,
Tokyo,34,83102,Yes
Mumbai,41,50048,No
Singapore,59,,
Singapore,58,52101,No
Tokyo,39,69179,Yes
NewYork,57,107202,No
Tokyo,36,,
NewYork,37,91602,Yes
Singapore,44,36871,No
Mumbai,25,,
Singapore,36,,
NewYork,29,,
Tokyo,,116623,
Singapore,34,110709,Yes
NewYork,20,86863,Yes
Singapore,,42229,
NewYork,29,105403,Yes
Singapore,36,89298,Yes
Singapore,50,43478,No
Singapore,,45509,
Mumbai,20,,
Tokyo,21,73554,Yes
NewYork,58,80225,No
NewYork,27,110519,Yes
NewYork,50,54959,No
Tokyo,32,99805,Yes
Singapore,40,73968,No
Tokyo,46,77027,No
Singapore,32,,
Tokyo,29,,
Tokyo,34,114238,Yes
NewYork,70,109234,No
Singapore,26,48244,Yes
NewYork,40,77446,No
Mumbai,,,
Tokyo,34,89742,Yes
Tokyo,68,113516,No
NewYork,,64445,
Singapore,,62619,
Tokyo,55,40370,No
Tokyo,29,56719,Yes
Tokyo,20,110925,Yes
Mumbai,18,75983,Yes
Tokyo,23,62959,Yes
NewYork,18,55153,Yes
NewYork,35,100983,Yes
Mumbai,22,106422,Yes
NewYork,48,46343,No
NewYork,,40322,
NewYork,35,32512,No
Mumbai,16,,
NewYork,27,89306,Yes
NewYork,45,78232,No
Singapore,65,93798,No
Singapore,43,79873,No
Singapore,27,101925,Yes
Mumbai,34,,
NewYork,45,70367,No
Mumbai,43,,
Singapore,46,,
Mumbai,69,92719,No
Tokyo,,84367,
Mumbai,18,89492,Yes
Mumbai,61,90329,No
Singapore,16,,
Singapore,29,,
NewYork,,106245,
Singapore,,,
Tokyo,,70428,
Mumbai,37,59213,Yes
Tokyo,41,60739,No
Singapore,23,59481,Yes
NewYork,33,31550,No
Mumbai,18,109474,Yes
Tokyo,28,,
Mumbai,41,58213,No
Mumbai,,84883,
Mumbai,60,60876,No
Singapore,,88298,
Mumbai,,73358,
Mumbai,35,53012,Yes
Tokyo,42,,
Mumbai,66,38261,No
Singapore,55,117443,No
Mumbai,56,117556,No
Tokyo,37,83837,Yes
Mumbai,,80727,
Singapore,,74227,
Mumbai,61,38201,No
Mumbai,,52692,
Mumbai,41,90892,No
Mumbai,70,78646,No
Singapore,64,,
Tokyo,36,83368,Yes
Mumbai,35,64391,Yes
Mumbai,51,61562,No
Singapore,,62803,
Tokyo,30,111549,Yes
NewYork,,84149,
Singapore,,117143,
Singapore,39,37176,No
Mumbai,62,,
Singapore,41,115060,No
Mumbai,26,82848,Yes
Mumbai,,51123,
NewYork,34,77058,Yes
Singapore,,92663,
Tokyo,26,30107,No
Tokyo,37,107450,Yes
Tokyo,63,38348,No
Tokyo,,110343,
Mumbai,31,113219,Yes
Singapore,59,,
NewYork,66,,
Singapore,61,91131,No
Mumbai,17,90782,Yes
Singapore,,88488,
Mumbai,68,,
NewYork,,70348,
NewYork,46,86557,No
NewYork,16,43197,Yes
NewYork,18,75052,Yes
Tokyo,52,115977,No
Mumbai,53,,
Tokyo,20,88795,Yes
Singapore,,32899,
Mumbai,21,35280,No
Tokyo,,36832,
Singapore,20,61503,Yes
Mumbai,37,56455,Yes
Singapore,,71587,
Mumbai,70,63614,No
Mumbai,68,119937,No
Singapore,16,30244,No
Tokyo,,116715,
Mumbai,51,112303,No
Tokyo,34,,
Singapore,34,72277,Yes
Tokyo,25,88727,Yes
Tokyo,66,52149,No
NewYork,40,,
NewYork,,96497,
NewYork,,34413,
Tokyo,,110420,
Tokyo,66,,
NewYork,,53204,
Singapore,,44760,
Tokyo,46,,
Tokyo,29,,
Mumbai,25,60001,Yes
Singapore,37,82418,Yes
Tokyo,59,,
Mumbai,63,89375,No
Tokyo,51,110200,No
Singapore,37,,
Singapore,59,55916,No
Mumbai,30,85862,Yes
Singapore,51,91830,No
Singapore,19,,
Singapore,39,96525,Yes
Singapore,50,31929,No
Singapore,65,77779,No
Tokyo,63,35391,No
Singapore,,36848,
Tokyo,21,100815,Yes
Mumbai,36,54394,Yes
NewYork,33,84653,Yes
NewYork,59,32894,No
Singapore,22,108613,Yes
Tokyo,24,75467,Yes
Mumbai,39,68789,Yes
NewYork,36,,
Singapore,29,90214,Yes
Tokyo,40,67644,No
Tokyo,20,92912,Yes
NewYork,29,54716,Yes
Tokyo,,107367,
Tokyo,69,37851,No
Singapore,55,,
NewYork,46,101053,No
Tokyo,20,,
Tokyo,18,79089,Yes
NewYork,68,76166,No
NewYork,63,84314,No
NewYork,56,,
Tokyo,56,49329,No
Singapore,,74609,
NewYork,30,92812,Yes
Singapore,,95546,
Tokyo,,69739,
Mumbai,70,97554,No
Singapore,68,88540,No
Singapore,57,114387,No
Singapore,,83136,
Tokyo,26,,
Singapore,63,75044,No
Singapore,,87260,
Mumbai,31,,
NewYork,63,86296,No
Singapore,68,56002,No
Tokyo,56,,
Mumbai,58,108210,No
Singapore,63,117429,No
NewYork,65,75901,No
NewYork,37,37396,No
Tokyo,,60282,
Singapore,32,74018,Yes
NewYork,68,52644,No
NewYork,41,100215,No
Tokyo,62,32512,No
NewYork,,54743,
Tokyo,20,48923,Yes
Singapore,21,34152,No
Mumbai,19,,
Tokyo,38,81883,Yes
Tokyo,42,79849,No
Mumbai,,,
Singapore,,32680,
Mumbai,19,104884,Yes
NewYork,66,49248,No
Mumbai,54,,
Tokyo,,70444,
Mumbai,40,83237,No
Singapore,56,66866,No
Tokyo,62,117858,No
Singapore,28,78668,Yes
Singapore,38,,
NewYork,34,57187,Yes
Singapore,62,81017,No
Mumbai,,58419,
NewYork,,,
Tokyo,16,113517,Yes
Mumbai,68,79771,No
Mumbai,57,57175,No
NewYork,58,107601,No
Mumbai,,98657,
NewYork,18,117877,Yes
NewYork,47,,
Tokyo,70,46245,No
NewYork,61,57318,No
Singapore,,86938,
Mumbai,58,,
NewYork,,68477,
NewYork,30,33706,No
NewYork,37,,
Singapore,,67639,
Tokyo,23,,
Mumbai,63,31711,No
Tokyo,48,117413,No
NewYork,,44192,
NewYork,70,33632,No
NewYork,22,,
Singapore,40,111955,No
Singapore,28,47214,Yes
NewYork,65,83679,No
NewYork,,,
NewYork,52,92022,No
Tokyo,31,80728,Yes
NewYork,61,,
Mumbai,51,76093,No
Singapore,36,44226,Yes
Mumbai,30,58144,Yes
NewYork,68,71254,No
Tokyo,21,58666,Yes
Mumbai,51,75671,No
Singapore,19,45725,Yes
Tokyo,70,,
Mumbai,,,
NewYork,37,74771,Yes
Mumbai,63,,
Tokyo,66,72406,No
Singapore,35,90354,Yes
Singapore,,83215,
Singapore,,118828,
Singapore,49,51130,No
NewYork,31,66212,Yes
NewYork,69,110902,No
NewYork,,,
Singapore,,,
Mumbai,58,108822,No
Singapore,22,78033,Yes
Singapore,25,117580,Yes
Singapore,29,104217,Yes
Mumbai,34,43421,Yes
Tokyo,70,89530,No
Tokyo,55,,
Tokyo,40,34690,No
NewYork,60,45663,No
Mumbai,,40482,
Tokyo,60,70916,No
Tokyo,,119222,
Mumbai,46,114601,No
Mumbai,,72668,
NewYork,,,
NewYork,,113918,
Mumbai,34,69139,Yes
Tokyo,18,,
Singapore,39,78439,Yes
Singapore,67,58706,No
NewYork,57,,
Mumbai,59,92145,No
NewYork,,86426,
Singapore,,108608,
Mumbai,48,41826,No
Mumbai,48,74254,No
Mumbai,18,90176,Yes
Tokyo,,99982,
NewYork,53,107359,No
Singapore,69,57752,No
Singapore,,105130,
NewYork,67,113058,No
Tokyo,20,37725,No
Singapore,,119452,
Mumbai,42,78805,No
Tokyo,39,32410,No
Singapore,30,36498,No
Tokyo,66,53169,No
Singapore,34,35487,No
Tokyo,,55183,
Mumbai,66,37834,No
Mumbai,62,46763,No
Tokyo,67,83922,No
Mumbai,33,,
Mumbai,42,71479,No
Mumbai,39,57881,Yes
Singapore,,93640,
NewYork,20,113327,Yes
NewYork,26,35673,No
Tokyo,,106697,
Mumbai,42,43374,No
Tokyo,28,,
Tokyo,39,75054,Yes
Tokyo,21,,
Mumbai,39,43992,Yes
Tokyo,,64920,
NewYork,18,93133,Yes
Singapore,,49955,
Mumbai,61,114021,No
Tokyo,61,119596,No
Tokyo,53,53864,No
Singapore,67,94610,No
NewYork,68,49793,No
Tokyo,53,112878,No
NewYork,47,43893,No
Mumbai,63,53002,No
Singapore,39,,
Singapore,28,111596,Yes
Tokyo,,,
Mumbai,51,84829,No
Mumbai,,106921,
NewYork,69,,
Singapore,47,81266,No
Singapore,,42620,
Tokyo,20,71842,Yes
Singapore,42,101941,No
Mumbai,42,31232,No
Singapore,36,62905,Yes
NewYork,20,43558,Yes
Mumbai,60,101700,No
Singapore,41,,
NewYork,41,42690,No
NewYork,,113062,
NewYork,63,58446,No
Tokyo,48,97118,No
Singapore,55,78788,No
Singapore,55,52097,No
Mumbai,41,95828,No
Singapore,,,
Mumbai,60,104249,No
Singapore,53,,
Mumbai,66,81316,No
NewYork,58,,
NewYork,55,101679,No
Mumbai,,,
Mumbai,35,59827,Yes
Mumbai,61,89249,No
Mumbai,,91726,
Tokyo,48,35760,No
NewYork,38,90791,Yes
Tokyo,,31352,
Singapore,30,41706,Yes
Mumbai,35,,
Tokyo,38,54113,Yes
NewYork,,51232,
Mumbai,66,,
Tokyo,26,30691,No
Tokyo,51,80082,No
Mumbai,,36868,
Singapore,31,113658,Yes
Singapore,35,51086,Yes
Tokyo,31,104920,Yes
Mumbai,68,56536,No
Mumbai,,33332,
Singapore,49,33124,No
Singapore,50,36665,No
Singapore,50,108567,No
Tokyo,31,79915,Yes
Singapore,,49247,
Singapore,,52555,
Singapore,58,68306,No
NewYork,30,75107,Yes
NewYork,,30633,
NewYork,66,95583,No
Mumbai,23,78063,Yes
Tokyo,50,82953,No
Mumbai,21,82450,Yes
Tokyo,16,97845,Yes
Tokyo,,,
Tokyo,62,112975,No
NewYork,69,45139,No
Tokyo,,84809,
Singapore,47,63051,No
Mumbai,55,30825,No
Mumbai,,93765,
Singapore,49,50180,No
NewYork,20,69219,Yes
Mumbai,56,92775,No
Mumbai,,79934,
Mumbai,16,64899,Yes
Singapore,,49352,
Mumbai,20,87577,Yes
Mumbai,36,97328,Yes
NewYork,27,33914,No
Mumbai,36,,
Singapore,,97280,
Tokyo,,90820,
Tokyo,31,69389,Yes
NewYork,24,55717,Yes
Singapore,28,110960,Yes
NewYork,,30900,
Singapore,22,85314,Yes
NewYork,,43899,
Mumbai,,106823,
NewYork,,40392,
Mumbai,56,,
Tokyo,,54901,
Tokyo,53,,
Singapore,41,74106,No
Mumbai,23,62434,Yes
Singapore,40,116410,No
Mumbai,39,70847,Yes
NewYork,,105738,
Mumbai,42,84844,No
Tokyo,70,103615,No
Tokyo,21,114035,Yes
NewYork,35,111066,Yes
Singapore,21,114887,Yes
Singapore,54,61964,No
Tokyo,,,
Tokyo,27,98259,Yes
Tokyo,61,36146,No
Mumbai,39,,
NewYork,18,114327,Yes
Mumbai,22,,
Mumbai,51,92114,No
Tokyo,18,63047,Yes
NewYork,,48078,
Singapore,51,50577,No
Singapore,43,62405,No
Tokyo,45,80753,No
Mumbai,16,80159,Yes
Mumbai,,97280,
Singapore,,43905,
Tokyo,17,55682,Yes
Mumbai,36,51809,Yes
Tokyo,23,92815,Yes
NewYork,,,
Tokyo,45,33194,No
NewYork,44,73436,No
Tokyo,,58797,
NewYork,61,68379,No
Singapore,43,,
Tokyo,46,106796,No
Mumbai,43,71301,No
NewYork,61,92793,No
Singapore,50,33550,No
NewYork,22,39027,No
Tokyo,61,61579,No
Tokyo,,36253,
Tokyo,33,36238,No
Tokyo,16,79104,Yes
Mumbai,41,33355,No
Singapore,56,87263,No
NewYork,42,,
NewYork,63,39786,No
NewYork,63,54545,No
Singapore,,,
Singapore,26,73579,Yes
NewYork,62,101984,No
Singapore,21,104271,Yes
Mumbai,16,,
Tokyo,32,,
Singapore,70,78388,No
Mumbai,69,58014,No
NewYork,24,,
Singapore,70,,
NewYork,28,74780,Yes
Tokyo,57,118580,No
Singapore,53,117469,No
Singapore,29,86152,Yes
Mumbai,,103136,
Mumbai,25,44927,Yes
Mumbai,64,46216,No
Tokyo,70,,
Tokyo,52,102676,No
Mumbai,48,43316,No
Singapore,,,
Tokyo,,,
Mumbai,60,55985,No
Mumbai,34,55230,Yes
Singapore,37,117405,Yes
NewYork,33,67457,Yes
Singapore,,37175,
Tokyo,68,,
NewYork,31,,
NewYork,49,,
Singapore,,69991,
Mumbai,30,69693,Yes
Singapore,42,52716,No
NewYork,67,,
Tokyo,,38696,
NewYork,,51264,
Singapore,61,108420,No
NewYork,69,112707,No
