City,Age,Salary,Eligible for bonus
Sydney,48,97315,No
Seoul,34,58203,Yes
Moscow,45,85736,No
Moscow,60,,
LosAngeles,50,70556,No
Paris,,55665,
Mumbai,50,,
NewYork,,,
LosAngeles,32,99451,Yes
Seoul,66,116333,No
Shanghai,55,69071,No
Mumbai,17,48439,Yes
Delhi,40,84580,No
Mumbai,,106283,
Delhi,59,44238,No
Cairo,45,88986,No
RioDeJaneiro,19,42558,Yes
London,70,80669,No
Berlin,,,
Seoul,36,85959,Yes
NewYork,26,,
RioDeJaneiro,63,,
RioDeJaneiro,,33952,
Toronto,49,97684,No
NewYork,41,103280,No
Moscow,48,100050,No
Paris,18,,
Cairo,54,42261,No
Seoul,58,73003,No
RioDeJaneiro,37,112681,Yes
Tokyo,,100686,
Istanbul,41,98565,No
Bangkok,,110354,
Istanbul,17,75377,Yes
Shanghai,,103854,
HongKong,66,39259,No
HongKong,,34068,
Bangkok,39,77268,Yes
Berlin,57,,
Paris,67,85329,No
Mumbai,48,33344,No
Delhi,31,112264,Yes
LosAngeles,32,,
RioDeJaneiro,59,64632,No
Chicago,27,95195,Yes
Mumbai,24,54434,Yes
London,30,65599,Yes
Cairo,27,80365,Yes
Mumbai,20,83401,Yes
Cairo,18,113612,Yes
Shanghai,69,95200,No
Singapore,67,67658,No
Singapore,,,
Seoul,34,90401,Yes
Cairo,35,81482,Yes
Cairo,35,105069,Yes
Bangkok,52,,
Berlin,,109479,
Sydney,,150855,
Delhi,,90477,
Moscow,37,79674,Yes
Paris,52,91992,No
Moscow,66,98920,No
Moscow,60,62458,No
Delhi,66,59371,No
RioDeJaneiro,67,55481,No
Bangkok,36,,
HongKong,,,
Paris,46,,
LosAngeles,64,62847,No
Berlin,40,38891,No
Seoul,,96997,
Singapore,24,,
Tokyo,16,,
Moscow,41,77897,No
Delhi,46,33426,No
Bangkok,52,82664,No
Delhi,18,111553,Yes
LosAngeles,17,,
LosAngeles,39,,
Sydney,22,83955,Yes
RioDeJaneiro,52,70542,No
Sydney,49,51573,No
Shanghai,23,,
LosAngeles,60,111363,No
Cairo,29,,
Cairo,68,83464,No
Berlin,57,52947,No
NewYork,68,62364,No
Mumbai,69,38227,No
Berlin,54,111001,No
Singapore,69,78105,No
Mumbai,70,,
Bangkok,,84780,
Seoul,42,,
Sydney,42,,
Chicago,47,111239,No
Mumbai,31,82934,Yes
Berlin,57,97876,No
Istanbul,,38342,
Cairo,37,61272,Yes
Berlin,67,,
Bangkok,32,161081,Yes
Shanghai,76,91642,No
HongKong,,,
Cairo,17,30483,No
London,,54601,
London,56,,
RioDeJaneiro,27,,
Delhi,37,70909,Yes
Moscow,45,,
Bangkok,26,57656,Yes
Sydney,66,,
Seoul,53,87272,No
Paris,25,,
Berlin,53,67194,No
Paris,18,78525,Yes
Mumbai,24,59319,Yes
Berlin,35,108964,Yes
Chicago,20,113995,Yes
NewYork,43,104806,No
Seoul,68,87459,No
Toronto,69,81698,No
Singapore,74,119499,No
Cairo,,46457,
Shanghai,40,65263,No
Shanghai,27,88990,Yes
Berlin,26,82066,Yes
Mumbai,42,41221,No
Moscow,48,45486,No
Mumbai,66,91502,No
Seoul,57,98891,No
Bangkok,36,115576,Yes
Shanghai,42,,
Toronto,57,,
Singapore,41,,
Tokyo,30,85277,Yes
Shanghai,66,50923,No
Toronto,,78314,
Paris,50,69701,No
Toronto,42,44357,No
LosAngeles,67,108778,No
Istanbul,57,42225,No
Berlin,22,108443,Yes
Singapore,40,100293,No
London,57,83460,No
LosAngeles,42,,
Moscow,,40183,
Mumbai,67,56649,No
Cairo,,55032,
NewYork,,93741,
Berlin,,,
Seoul,51,49852,No
LosAngeles,30,,
Tokyo,38,77523,Yes
Istanbul,34,110286,Yes
Chicago,31,103155,Yes
Istanbul,21,57969,Yes
Toronto,38,114380,Yes
LosAngeles,,52823,
Sydney,61,168455,No
Bangkok,43,84179,No
Sydney,68,68519,No
LosAngeles,45,104181,No
Mumbai,58,52941,No
Tokyo,37,71577,Yes
Moscow,26,,
Sydney,63,,
Toronto,67,,
Chicago,21,67065,Yes
Cairo,34,113686,Yes
Cairo,37,,
Chicago,40,95744,No
NewYork,74,49924,No
Toronto,41,38674,No
Chicago,43,77476,No
London,59,80675,No
Paris,,64112,
Berlin,48,71296,No
Istanbul,19,76065,Yes
RioDeJaneiro,54,78684,No
Paris,17,117921,Yes
Moscow,19,,
Tokyo,36,99257,Yes
Paris,66,,
Cairo,65,39562,No
Chicago,46,,
Berlin,47,68125,No
RioDeJaneiro,47,41665,No
Shanghai,22,112347,Yes
Mumbai,62,33129,No
Chicago,29,,
Singapore,25,,
NewYork,48,56703,No
RioDeJaneiro,27,143897,Yes
Singapore,26,49714,Yes
NewYork,,,
London,57,,
Toronto,40,100039,No
Sydney,66,85124,No
Tokyo,,98995,
Cairo,39,67812,Yes
Mumbai,,,
Shanghai,68,57692,No
Istanbul,34,103521,Yes
Bangkok,,82491,
Istanbul,67,95136,No
Toronto,61,39872,No
LosAngeles,47,166924,No
LosAngeles,35,71567,Yes
Bangkok,44,34795,No
Sydney,18,107560,Yes
Toronto,70,115654,No
Tokyo,27,,
Shanghai,41,82774,No
Bangkok,50,34229,No
Moscow,,73788,
Sydney,61,93189,No
Delhi,67,61573,No
Berlin,39,60832,Yes
Toronto,32,,
Sydney,68,,
Shanghai,52,105464,No
Sydney,28,,
Shanghai,58,50516,No
Sydney,69,163613,No
RioDeJaneiro,63,106705,No
NewYork,31,,
Moscow,29,48902,Yes
Bangkok,,50015,
Shanghai,,54000,
Istanbul,,35147,
LosAngeles,27,51710,Yes
Shanghai,,107807,
Berlin,29,,
LosAngeles,45,114566,No
RioDeJaneiro,,104918,
LosAngeles,38,98764,Yes
Seoul,,52348,
Bangkok,53,,
RioDeJaneiro,42,,
Cairo,23,43732,Yes
Paris,,106165,
Seoul,42,65910,No
Mumbai,50,99127,No
Seoul,65,77913,No
Paris,39,,
Tokyo,,112456,
Mumbai,24,,
Bangkok,,61592,
Singapore,,75262,
Seoul,,85481,
Tokyo,42,35947,No
Seoul,39,,
Delhi,18,80163,Yes
Paris,64,48966,No
Bangkok,46,53520,No
Bangkok,52,93396,No
Toronto,24,115823,Yes
Chicago,31,68793,Yes
Berlin,35,60826,Yes
Istanbul,29,92256,Yes
Seoul,20,79903,Yes
Cairo,45,,
Bangkok,30,75810,Yes
Chicago,53,,
Delhi,,68465,
NewYork,,35121,
Seoul,48,89943,No
Mumbai,25,52385,Yes
Bangkok,21,,
Paris,,73248,
Mumbai,32,39532,No
Istanbul,41,,
Tokyo,27,39458,No
Paris,57,51293,No
Cairo,30,58652,Yes
HongKong,52,52803,No
HongKong,70,49961,No
RioDeJaneiro,,34216,
LosAngeles,58,43609,No
Paris,,,
Istanbul,54,94860,No
Cairo,43,69616,No
HongKong,57,56233,No
Bangkok,33,,
HongKong,17,62166,Yes
Cairo,19,86944,Yes
HongKong,50,,
London,20,104874,Yes
HongKong,,,
Paris,,67677,
Paris,41,96191,No
Chicago,45,92893,No
Mumbai,53,105970,No
Paris,,76704,
Moscow,,107426,
RioDeJaneiro,76,64963,No
Mumbai,43,78074,No
Tokyo,27,88402,Yes
Seoul,20,30869,No
Seoul,17,,
Bangkok,49,48313,No
Chicago,,44950,
Sydney,29,108177,Yes
Chicago,30,37919,No
Seoul,66,63536,No
Chicago,,,
Sydney,55,123593,No
Seoul,,,
Singapore,61,,
Berlin,45,,
HongKong,32,109994,Yes
RioDeJaneiro,62,47948,No
HongKong,22,53595,Yes
NewYork,58,65802,No
Mumbai,54,119091,No
LosAngeles,32,79933,Yes
Shanghai,,68595,
Chicago,63,103587,No
Berlin,46,35654,No
Shanghai,39,75955,Yes
Seoul,69,116089,No
RioDeJaneiro,16,67800,Yes
Delhi,32,66173,Yes
Moscow,16,114520,Yes
HongKong,19,59778,Yes
Shanghai,25,69581,Yes
Paris,69,37709,No
Delhi,33,71627,Yes
Shanghai,44,,
Mumbai,68,91952,No
Sydney,33,63312,Yes
Shanghai,70,76872,No
Toronto,69,74757,No
Tokyo,62,82086,No
Singapore,,57277,
Moscow,71,111291,No
Toronto,42,71838,No
Tokyo,38,33119,No
Seoul,17,46807,Yes
Seoul,61,116499,No
Tokyo,16,57668,Yes
Bangkok,41,,
Singapore,41,107698,No
Seoul,47,,
Tokyo,51,108156,No
NewYork,60,77476,No
LosAngeles,47,,
Berlin,,70466,
Shanghai,55,,
LosAngeles,32,,
Sydney,,119564,
Bangkok,,95370,
Paris,37,109966,Yes
LosAngeles,25,52887,Yes
HongKong,45,,
Berlin,46,73175,No
Chicago,18,42078,Yes
Sydney,36,68421,Yes
Delhi,65,103821,No
Sydney,53,56881,No
Mumbai,53,114905,No
Berlin,49,,
NewYork,44,56326,No
Bangkok,18,49071,Yes
Delhi,20,64995,Yes
Chicago,34,80125,Yes
Tokyo,24,103418,Yes
NewYork,65,104852,No
Istanbul,18,92209,Yes
Paris,30,92300,Yes
Cairo,47,64346,No
NewYork,48,44575,No
Cairo,59,88902,No
Delhi,22,,
Cairo,43,50707,No
Seoul,23,33246,No
Cairo,27,111648,Yes
Singapore,54,36307,No
Moscow,47,,
Berlin,55,85244,No
Tokyo,50,85953,No
Tokyo,,58700,
London,24,,
HongKong,16,,
Berlin,69,134758,No
Singapore,,,
Mumbai,,61091,
Sydney,41,40835,No
RioDeJaneiro,,56755,
London,,113737,
Tokyo,33,,
NewYork,31,113685,Yes
Seoul,36,70939,Yes
Singapore,65,95776,No
Toronto,50,48172,No
Chicago,29,61476,Yes
Seoul,49,124429,No
Delhi,18,136443,Yes
Singapore,52,66116,No
RioDeJaneiro,48,,
Tokyo,26,79585,Yes
Toronto,62,45050,No
RioDeJaneiro,25,56394,Yes
NewYork,,65629,
Bangkok,19,79299,Yes
Shanghai,,,
Chicago,,116959,
HongKong,50,112714,No
RioDeJaneiro,68,64348,No
RioDeJaneiro,64,35956,No
Singapore,,,
Delhi,54,116962,No
Shanghai,42,40607,No
NewYork,43,72731,No
Bangkok,16,31342,No
LosAngeles,27,45393,Yes
Paris,57,107932,No
Singapore,,81232,
Paris,41,,
NewYork,50,97010,No
Delhi,38,94927,Yes
Berlin,29,33547,No
Istanbul,34,39728,No
NewYork,19,115120,Yes
Cairo,41,114861,No
NewYork,36,59095,Yes
London,64,,
LosAngeles,23,92348,Yes
Seoul,31,105184,Yes
NewYork,35,104711,Yes
Moscow,45,73524,No
Istanbul,64,87092,No
Mumbai,27,60909,Yes
Chicago,65,,
Chicago,18,53971,Yes
London,60,54013,No
Delhi,42,105901,No
Tokyo,69,,
RioDeJaneiro,,92563,
Bangkok,30,97758,Yes
Paris,24,99869,Yes
Istanbul,,50364,
Delhi,31,33769,No
Berlin,,,
Seoul,44,84319,No
Singapore,36,30202,No
RioDeJaneiro,34,95441,Yes
Singapore,52,,
HongKong,66,62112,No
NewYork,54,75035,No
Mumbai,,78131,
Mumbai,,48280,
Toronto,56,38110,No
Sydney,21,72623,Yes
Tokyo,70,78639,No
RioDeJaneiro,51,92144,No
Istanbul,68,39284,No
Shanghai,49,,
Moscow,27,78101,Yes
Istanbul,41,52842,No
NewYork,19,108196,Yes
Chicago,47,48982,No
London,25,93120,Yes
Shanghai,20,118367,Yes
Tokyo,38,98068,Yes
Cairo,27,49071,Yes
Bangkok,21,104585,Yes
Singapore,,102202,
Moscow,,91018,
LosAngeles,34,47203,Yes
Singapore,,80643,
Singapore,30,32043,No
Singapore,35,69827,Yes
Tokyo,37,40908,Yes
Sydney,,,
Cairo,30,,
Bangkok,60,98769,No
LosAngeles,59,58595,No
RioDeJaneiro,41,82725,No
Singapore,,,
Chicago,59,109892,No
Sydney,19,97648,Yes
Toronto,44,33758,No
LosAngeles,42,101601,No
Sydney,25,47047,Yes
Toronto,50,,
Berlin,,44565,
Seoul,49,86619,No
London,34,66838,Yes
Singapore,22,68299,Yes
Mumbai,,84965,
LosAngeles,40,112702,No
Mumbai,,99725,
NewYork,16,87957,Yes
Singapore,,63273,
Delhi,40,75827,No
Chicago,27,62307,Yes
Sydney,48,59447,No
Tokyo,,,
Sydney,67,115329,No
Seoul,37,,
Toronto,,117798,
LosAngeles,70,,
Toronto,,61574,
Tokyo,27,102160,Yes
Cairo,17,,
LosAngeles,50,54466,No
Seoul,52,64403,No
Singapore,,,
LosAngeles,61,122163,No
Moscow,51,107706,No
Toronto,39,,
Mumbai,48,39882,No
HongKong,16,100731,Yes
Berlin,36,92734,Yes
LosAngeles,45,128930,No
NewYork,70,102375,No
Seoul,,74655,
Sydney,24,,
Delhi,59,113548,No
NewYork,31,110489,Yes
Toronto,22,117804,Yes
Cairo,39,93181,Yes
Istanbul,52,,
Chicago,,55816,
London,35,58073,Yes
Sydney,30,98438,Yes
Tokyo,63,90923,No
Seoul,,50590,
London,44,112622,No
RioDeJaneiro,,37936,
HongKong,42,112337,No
Sydney,59,33059,No
RioDeJaneiro,67,117876,No
NewYork,35,82702,Yes
LosAngeles,32,102587,Yes
Shanghai,,91191,
Singapore,58,86655,No
Singapore,,53897,
NewYork,,34273,
HongKong,38,,
Shanghai,43,31047,No
Mumbai,45,82416,No
Moscow,35,115797,Yes
Delhi,27,113245,Yes
Mumbai,,,
Moscow,38,,
HongKong,20,,
Toronto,56,99581,No
Shanghai,48,81449,No
London,53,107972,No
London,60,53039,No
Toronto,,63947,
Sydney,23,32033,No
Berlin,64,88231,No
Tokyo,69,93568,No
Chicago,49,,
Berlin,65,37149,No
Delhi,,43110,
Delhi,24,61100,Yes
Chicago,24,97196,Yes
Delhi,50,85599,No
Singapore,57,98799,No
Singapore,65,116693,No
LosAngeles,,47925,
Chicago,54,96202,No
RioDeJaneiro,30,94360,Yes
HongKong,34,58043,Yes
HongKong,51,,
Toronto,43,81422,No
Singapore,,53799,
Toronto,49,96084,No
Berlin,84,103413,No
Singapore,52,44448,No
Cairo,60,22459,No
Chicago,49,134994,No
Tokyo,40,72933,No
Berlin,60,102178,No
Paris,62,114265,No
Mumbai,35,,
Delhi,16,66652,Yes
Mumbai,53,102267,No
Tokyo,29,116855,Yes
Moscow,19,30287,No
Shanghai,51,,
Istanbul,19,42778,Yes
Toronto,31,,
Cairo,16,,
Istanbul,58,,
LosAngeles,48,84300,No
Paris,37,73000,Yes
NewYork,49,99098,No
Delhi,35,61309,Yes
Bangkok,43,,
Chicago,17,,
NewYork,52,49494,No
Shanghai,,109662,
RioDeJaneiro,,89244,
HongKong,29,105563,Yes
Istanbul,63,101951,No
Moscow,,,
Tokyo,33,92455,Yes
Chicago,30,52273,Yes
Chicago,25,113738,Yes
Bangkok,43,49225,No
Bangkok,,56089,
Toronto,61,95767,No
Seoul,32,68364,Yes
RioDeJaneiro,36,108057,Yes
Tokyo,30,79900,Yes
Paris,67,45466,No
LosAngeles,61,36291,No
Chicago,,35368,
Berlin,,42075,
London,,40530,
HongKong,,94626,
Delhi,55,111610,No
Seoul,49,,
RioDeJaneiro,35,118311,Yes
Mumbai,33,,
Moscow,47,,
Cairo,49,83508,No
NewYork,32,118284,Yes
RioDeJaneiro,70,91580,No
Chicago,63,112210,No
Delhi,50,45955,No
Paris,17,58443,Yes
LosAngeles,,57508,
Shanghai,,,
Moscow,21,102016,Yes
NewYork,26,39296,No
Delhi,22,,
NewYork,54,51675,No
Istanbul,66,80867,No
Istanbul,61,73155,No
Tokyo,65,143762,No
Tokyo,,54868,
Delhi,18,93088,Yes
RioDeJaneiro,41,38905,No
Sydney,,,
LosAngeles,68,47415,No
Singapore,56,,
Cairo,64,91704,No
Chicago,27,,
Toronto,37,,
Sydney,27,61698,Yes
Seoul,66,57780,No
Sydney,27,,
RioDeJaneiro,,85656,
Tokyo,55,92572,No
Paris,36,,
Toronto,,84988,
Singapore,39,62473,Yes
LosAngeles,60,55071,No
Toronto,20,80572,Yes
Mumbai,59,54291,No
Shanghai,,58275,
Shanghai,46,65624,No
Tokyo,59,,
Toronto,34,51683,Yes
Toronto,40,,
NewYork,34,38473,No
Cairo,65,,
Istanbul,,45086,
Cairo,57,47024,No
Chicago,29,94366,Yes
Paris,65,62346,No
Mumbai,42,111578,No
LosAngeles,68,112511,No
Sydney,59,85387,No
Paris,48,88668,No
Sydney,59,39908,No
HongKong,38,,
Delhi,57,,
Paris,57,98308,No
Cairo,64,55142,No
Delhi,49,55310,No
Istanbul,41,103194,No
NewYork,35,107687,Yes
NewYork,65,104703,No
Singapore,,65005,
Shanghai,41,92245,No
Toronto,66,90140,No
Cairo,38,47286,Yes
Cairo,,83294,
Bangkok,28,,
Istanbul,70,,
Paris,,99692,
Toronto,46,91351,No
RioDeJaneiro,47,32906,No
RioDeJaneiro,44,58439,No
London,,48003,
Mumbai,30,,
Tokyo,42,36603,No
Chicago,21,99283,Yes
Shanghai,57,44704,No
RioDeJaneiro,49,,
Chicago,34,81934,Yes
Shanghai,42,35506,No
London,31,114713,Yes
NewYork,37,,
Shanghai,,79013,
NewYork,,61982,
Istanbul,52,88706,No
Delhi,26,,
HongKong,55,,
Berlin,60,54968,No
Tokyo,44,,
Paris,47,36532,No
Delhi,,31236,
HongKong,,88149,
NewYork,48,104996,No
Berlin,17,,
HongKong,78,81942,No
Moscow,28,110973,Yes
Singapore,,87561,
Berlin,,42257,
Paris,56,113589,No
Cairo,63,,
Mumbai,,107855,
Sydney,,87492,
Tokyo,67,71096,No
Paris,62,100418,No
LosAngeles,24,74795,Yes
Cairo,31,72983,Yes
Tokyo,43,49845,No
RioDeJaneiro,,34190,
Delhi,,43994,
Istanbul,29,,
Bangkok,,78891,
London,,60677,
Delhi,56,88182,No
London,62,64832,No
Berlin,21,,
Delhi,,77104,
HongKong,44,123643,No
Mumbai,28,71158,Yes
Bangkok,25,58777,Yes
Delhi,21,100720,Yes
Seoul,,77209,
Shanghai,30,111007,Yes
Tokyo,18,81461,Yes
RioDeJaneiro,28,62509,Yes
Bangkok,34,108668,Yes
Tokyo,62,101907,No
Paris,28,117888,Yes
HongKong,48,115168,No
LosAngeles,,105344,
Sydney,,60000,
Paris,63,67169,No
Bangkok,20,30916,No
Mumbai,54,87221,No
Bangkok,41,,
Bangkok,66,34906,No
Cairo,21,51014,Yes
Delhi,41,119363,No
Mumbai,64,,
Istanbul,56,,
Shanghai,60,93695,No
NewYork,45,61226,No
NewYork,,51383,
LosAngeles,55,40522,No
Singapore,62,114928,No
London,24,35653,No
RioDeJaneiro,80,113548,No
Moscow,52,64104,No
Shanghai,30,39311,No
Singapore,37,,
Singapore,20,39868,No
LosAngeles,48,91384,No
Singapore,27,87506,Yes
Bangkok,60,,
LosAngeles,51,98501,No
Bangkok,53,112949,No
Bangkok,59,,
Sydney,54,74108,No
Paris,55,,
Delhi,30,113537,Yes
Mumbai,56,101179,No
Moscow,48,97136,No
Shanghai,40,87473,No
Cairo,32,49883,Yes
Cairo,44,61715,No
Seoul,59,65770,No
Toronto,16,72535,Yes
Seoul,18,35419,No
Moscow,,31674,
HongKong,42,,
Sydney,50,78019,No
RioDeJaneiro,,50169,
Toronto,38,85115,Yes
Delhi,58,90292,No
Shanghai,,73774,
Sydney,,97282,
Seoul,,52428,
Berlin,59,106352,No
Berlin,31,,
LosAngeles,56,79192,No
Berlin,54,81906,No
Bangkok,,78847,
Tokyo,44,63738,No
HongKong,16,80610,Yes
Cairo,63,,
HongKong,64,93293,No
London,60,58065,No
NewYork,27,93841,Yes
Chicago,,,
Delhi,20,84522,Yes
NewYork,58,42276,No
Seoul,51,119588,No
RioDeJaneiro,,79747,
Delhi,57,56371,No
Bangkok,15,85891,Yes
Berlin,61,44464,No
NewYork,47,99741,No
Istanbul,26,85343,Yes
Toronto,,,
Bangkok,50,95349,No
RioDeJaneiro,,47405,
HongKong,16,103036,Yes
HongKong,19,81618,Yes
Shanghai,,29604,
Berlin,37,106104,Yes
Singapore,17,28064,No
HongKong,56,69068,No
HongKong,,97790,
Seoul,49,58061,No
Toronto,17,117748,Yes
LosAngeles,,105605,
Delhi,23,111838,Yes
Cairo,63,,
Mumbai,41,34628,No
Mumbai,,,
Paris,77,76954,No
LosAngeles,24,42084,Yes
NewYork,24,61439,Yes
Mumbai,33,89118,Yes
LosAngeles,41,37035,No
Paris,27,104176,Yes
London,45,84480,No
NewYork,63,44458,No
NewYork,,52216,
Seoul,66,42778,No
Moscow,61,81971,No
Shanghai,31,,
LosAngeles,22,48565,Yes
Mumbai,48,112275,No
Cairo,18,,
Berlin,65,89328,No
