relativehumidity_2m,dewpoint_2m,windspeed_100m,winddirection_100m,Power/hour
78,25.3,15.08,251,0.8915
74,22.5,15.07,254,0.8871
72,19.6,13.75,257,0.8826
74,17.9,11.96,256,0.8782
78,17.1,11.06,255,0.8652
79,19.2,10.56,251,0.8439
78,19.7,9.0,246,0.8225
77,20.3,7.5,233,0.8011
69,21.3,6.17,207,0.7797
65,22.8,7.21,183,0.7583
64,23.4,8.78,188,0.7369
63,24.0,8.1,181,0.7431
65,26.5,9.73,185,0.7767
61,27.1,10.75,198,0.8104
64,30.2,11.26,198,0.844
69,32.7,11.25,194,0.8777
77,36.7,12.08,190,0.9113
91,40.5,11.45,192,0.9128
96,43.2,9.39,199,0.8823
98,42.1,4.64,277,0.8517
97,38.9,5.6,1,0.8211
97,37.2,5.28,27,0.7906
93,33.3,7.96,25,0.76
96,32.1,9.78,344,0.7294
92,28.0,8.9,360,0.6989
92,26.5,8.24,350,0.6683
91,25.8,6.64,354,0.6377
90,25.6,5.92,355,0.6072
89,25.1,5.72,355,0.555
87,25.0,6.01,3,0.4814
87,25.0,3.45,17,0.4077
87,25.2,4.21,342,0.3341
85,24.9,3.88,348,0.2604
85,24.9,3.82,354,0.1867
83,24.3,4.08,329,0.1131
81,23.6,4.3,324,0.0832
80,22.6,5.3,316,0.097
80,21.7,5.45,313,0.1108
80,20.8,4.88,305,0.1246
82,20.4,5.07,285,0.1384
86,19.3,6.58,279,0.1522
83,19.2,7.01,267,0.177
81,17.7,7.51,260,0.2128
79,17.0,8.39,255,0.2487
74,16.7,10.01,268,0.2845
67,13.0,10.43,274,0.3204
71,12.0,9.69,281,0.3562
71,10.5,9.27,288,0.3921
70,9.2,8.86,295,0.428
69,8.4,7.83,297,0.4638
73,8.0,7.2,297,0.4997
74,7.5,6.93,297,0.5355
75,7.2,6.75,297,0.5212
74,7.7,5.99,296,0.4568
78,5.7,5.15,299,0.3924
76,7.7,5.05,304,0.328
64,7.5,5.62,321,0.2635
59,6.9,4.69,326,0.1991
56,6.1,4.0,323,0.1347
55,6.0,3.66,325,0.0956
55,6.3,3.14,329,0.0818
57,6.9,2.64,331,0.068
60,7.7,1.97,330,0.0542
69,7.8,2.26,347,0.0404
70,5.7,3.13,7,0.0266
67,6.5,2.55,349,0.0208
62,6.2,2.92,6,0.0231
63,5.6,2.94,18,0.0254
64,5.1,3.01,21,0.0277
63,4.5,3.06,38,0.03
61,4.6,2.48,50,0.0323
60,5.0,1.92,51,0.0346
61,5.1,1.32,81,0.0369
60,5.3,1.3,157,0.0392
58,6.6,2.3,178,0.0415
58,7.7,3.11,184,0.0438
62,8.7,3.52,187,0.0431
78,10.9,3.72,186,0.0392
68,10.3,3.71,185,0.0354
64,9.9,3.22,187,0.0316
59,9.7,2.66,200,0.0277
55,10.5,2.87,209,0.0239
54,11.4,3.12,230,0.02
52,12.0,3.22,240,0.0385
50,12.0,3.42,255,0.0791
49,11.9,3.57,259,0.1198
49,11.9,3.81,267,0.1605
59,13.2,4.72,265,0.2012
64,12.3,5.74,263,0.2418
72,11.5,6.34,264,0.2561
64,11.4,6.46,262,0.2439
63,10.9,6.59,260,0.2316
62,10.9,6.81,267,0.2194
64,11.9,7.26,277,0.2072
74,14.9,7.28,291,0.195
86,17.3,6.74,302,0.1828
87,17.0,6.28,307,0.1706
88,16.5,5.69,309,0.1584
89,16.1,5.02,313,0.1461
89,15.8,4.33,320,0.1339
89,15.7,3.47,314,0.12
92,14.1,3.05,302,0.1042
94,15.5,2.62,288,0.0885
91,16.1,2.1,273,0.0728
78,16.8,1.48,242,0.0571
64,15.7,1.25,209,0.0414
52,13.4,2.2,210,0.0257
47,12.6,2.39,213,0.0183
44,12.6,3.08,216,0.0192
44,12.9,3.05,221,0.0202
46,13.4,3.56,218,0.0211
59,14.2,3.24,236,0.022
62,14.3,3.61,226,0.023
75,14.6,5.8,234,0.0485
71,15.9,5.59,241,0.0987
71,16.0,6.28,239,0.1489
71,16.2,6.59,240,0.199
72,16.6,7.02,244,0.2492
73,17.0,7.12,246,0.2994
75,17.4,7.22,239,0.3495
77,17.8,6.76,241,0.3997
80,18.2,6.64,239,0.4499
82,18.5,6.67,240,0.5001
81,18.6,6.95,240,0.5502
81,18.6,6.4,241,0.5426
85,19.6,6.41,239,0.4771
86,19.2,6.46,235,0.4116
80,19.5,6.18,231,0.3461
70,19.9,5.45,226,0.2806
59,19.8,3.47,226,0.2151
50,19.1,3.56,218,0.1496
43,17.7,3.42,218,0.1232
43,17.5,3.19,212,0.1359
47,18.3,3.09,209,0.1485
49,18.4,3.09,209,0.1612
55,19.1,3.83,200,0.1738
61,19.5,4.46,196,0.1865
82,25.4,5.06,198,0.2227
92,27.6,5.54,187,0.2824
93,28.4,4.85,158,0.3422
93,28.7,5.72,144,0.4019
93,29.1,6.02,138,0.4617
93,29.4,5.99,147,0.5214
93,29.6,6.5,127,0.5812
93,29.7,8.08,121,0.6409
92,29.8,8.18,129,0.7006
92,30.1,8.61,121,0.7604
93,30.5,8.41,118,0.8201
93,31.2,8.19,114,0.8119
94,32.5,8.64,110,0.7357
95,33.3,7.45,112,0.6595
97,33.8,5.79,111,0.5833
97,34.5,6.46,106,0.5071
96,35.6,7.65,107,0.4309
97,35.6,6.76,114,0.3547
98,35.7,5.51,119,0.298
98,35.7,4.42,128,0.2608
98,35.5,2.85,162,0.2236
97,35.5,3.47,258,0.1864
98,35.6,5.26,284,0.1492
99,35.1,4.96,289,0.112
99,35.2,6.79,261,0.0995
99,33.9,8.0,270,0.1118
99,33.3,7.73,275,0.124
100,33.2,7.16,277,0.1362
99,33.0,6.97,278,0.1484
99,32.8,6.81,280,0.1606
99,32.6,6.59,280,0.1728
99,32.4,6.4,284,0.1851
99,32.2,5.57,288,0.1973
99,32.0,5.28,289,0.2095
99,31.9,5.91,298,0.2217
99,31.7,4.79,296,0.2331
99,32.2,3.95,279,0.2436
99,32.3,4.5,273,0.2542
97,32.8,5.35,278,0.2647
95,33.4,5.12,274,0.2752
91,33.8,5.71,266,0.2858
88,34.1,6.13,264,0.2963
86,34.4,6.04,258,0.3263
83,35.0,6.28,256,0.3756
83,35.4,5.94,257,0.425
84,35.4,5.69,246,0.4744
87,35.1,6.6,238,0.5237
90,34.8,7.46,235,0.5731
94,34.2,8.1,237,0.5944
93,34.4,8.32,237,0.5876
93,34.3,9.04,241,0.5808
93,33.8,9.4,246,0.574
93,33.0,9.08,253,0.5673
94,31.7,8.61,261,0.5605
93,30.5,8.1,257,0.5537
93,30.0,7.01,256,0.5469
93,29.7,6.18,256,0.5401
94,29.6,5.79,249,0.5333
95,29.6,4.92,246,0.5265
96,29.1,6.46,235,0.4888
96,28.4,7.2,245,0.4201
97,28.5,6.06,257,0.3514
95,29.4,5.76,253,0.2827
91,30.5,4.34,255,0.214
88,30.8,3.92,251,0.1452
83,31.1,2.82,243,0.0765
79,31.5,1.97,210,0.0405
76,32.1,3.4,208,0.0372
76,32.4,2.95,208,0.0339
77,32.5,3.18,193,0.0305
86,32.1,3.51,183,0.0272
91,29.8,3.13,163,0.0239
96,29.6,3.47,134,0.0224
96,29.3,5.42,157,0.0229
96,28.6,4.85,166,0.0234
96,28.5,5.55,166,0.0239
96,28.6,5.12,168,0.0244
96,28.8,5.55,166,0.0248
97,29.0,4.99,147,0.0253
97,29.4,5.08,144,0.0258
97,29.6,5.28,127,0.0263
98,29.8,5.91,114,0.0268
97,30.1,6.64,108,0.0273
97,30.2,6.69,122,0.0413
97,30.2,5.24,125,0.0688
97,30.2,5.91,93,0.0964
95,30.8,6.72,94,0.1239
92,31.4,6.02,111,0.1515
91,31.7,4.95,98,0.179
85,32.0,5.12,86,0.2065
84,32.1,4.4,90,0.2064
89,32.6,3.93,97,0.1786
91,33.0,4.62,85,0.1508
92,33.2,4.34,82,0.123
93,33.2,3.26,101,0.0952
97,33.2,1.3,122,0.0673
97,32.6,1.9,183,0.0577
96,32.9,3.47,224,0.0662
96,33.2,4.64,233,0.0747
96,33.5,5.9,231,0.0833
96,33.7,6.14,240,0.0918
96,33.8,5.9,244,0.1003
98,33.9,5.5,245,0.1088
98,34.4,4.41,237,0.1174
99,34.1,3.2,219,0.1259
99,34.4,3.09,205,0.1344
98,35.4,3.4,166,0.1429
98,36.5,5.98,142,0.1494
99,35.3,5.61,140,0.154
99,35.7,6.06,142,0.1585
99,37.1,6.31,151,0.163
98,38.8,6.32,157,0.1675
97,40.4,6.36,164,0.172
95,42.0,6.26,163,0.1765
94,43.4,6.38,171,0.1741
90,45.5,5.11,183,0.1649
88,46.4,5.77,189,0.1557
90,46.2,5.53,193,0.1465
95,44.9,6.0,178,0.1373
98,42.7,6.93,160,0.128
100,41.0,7.24,145,0.1195
100,40.4,7.38,155,0.1118
99,41.8,7.47,155,0.104
100,39.8,6.7,179,0.0962
100,40.4,6.2,180,0.0884
100,41.3,6.56,188,0.0806
99,42.3,5.87,194,0.0728
99,42.5,5.19,205,0.0651
100,38.8,4.56,218,0.0573
100,36.6,3.29,200,0.0495
100,35.7,3.24,189,0.0417
100,35.0,2.4,180,0.0428
100,34.0,1.71,173,0.0527
100,34.1,2.28,165,0.0627
99,36.6,3.61,177,0.0727
99,38.4,2.86,192,0.0826
98,40.2,2.51,185,0.0926
97,42.8,1.75,149,0.1025
94,44.0,1.77,133,0.1021
96,43.9,2.52,97,0.0913
95,43.4,3.2,104,0.0805
97,41.8,4.65,115,0.0698
100,38.8,4.25,117,0.059
100,37.2,1.68,107,0.0482
100,37.7,0.91,84,0.0456
100,36.3,2.6,74,0.0511
100,37.6,5.26,81,0.0566
100,38.2,5.47,99,0.0621
99,38.1,7.3,113,0.0676
100,37.3,6.35,118,0.0731
100,36.8,5.83,112,0.0786
99,36.6,5.87,104,0.0841
98,36.0,5.8,105,0.0897
98,35.3,5.2,90,0.0952
98,35.0,5.76,82,0.1007
97,35.1,6.3,80,0.1031
97,35.6,5.71,87,0.1024
97,35.5,5.71,86,0.1017
96,35.7,5.46,82,0.1009
94,36.1,5.72,85,0.1002
95,36.9,5.8,91,0.0995
95,36.8,5.22,95,0.0988
95,37.2,4.34,98,0.1097
94,37.6,3.72,96,0.1321
95,37.5,3.86,80,0.1546
96,37.3,3.69,57,0.177
97,37.0,4.5,53,0.1995
98,36.6,5.09,47,0.2219
99,36.1,5.08,54,0.223
99,36.3,5.69,72,0.2028
97,36.0,5.71,87,0.1826
95,34.6,6.01,93,0.1623
96,33.2,4.7,91,0.1421
96,32.2,5.22,95,0.1219
95,31.9,6.06,103,0.1016
95,31.8,4.55,109,0.0814
95,31.7,4.09,112,0.0612
96,31.9,3.72,126,0.041
96,31.9,3.97,124,0.0207
96,32.0,3.47,123,0.0136
97,32.1,0.67,207,0.0196
98,32.5,2.1,273,0.0256
96,33.0,3.32,291,0.0316
95,33.4,3.76,295,0.0375
95,33.8,3.64,302,0.0435
96,34.9,3.94,306,0.0495
95,35.7,4.19,303,0.0598
95,35.7,4.78,307,0.0745
89,34.8,5.04,309,0.0891
90,34.2,5.26,309,0.1037
94,34.0,4.76,309,0.1184
96,33.7,4.89,319,0.133
98,33.3,4.38,305,0.1406
98,33.5,4.18,291,0.1412
98,33.8,4.52,298,0.1418
97,33.7,5.24,305,0.1424
96,33.3,4.75,300,0.143
98,32.8,4.95,284,0.1436
98,32.9,4.49,291,0.1442
98,32.7,4.08,306,0.1448
99,31.8,5.23,277,0.1454
98,32.1,4.84,277,0.146
98,32.1,3.69,283,0.1466
99,31.6,2.81,274,0.1462
100,33.2,2.06,247,0.1448
99,33.2,3.36,217,0.1434
98,33.9,3.45,197,0.142
93,33.6,2.25,159,0.1406
89,33.7,2.75,170,0.1393
87,33.5,3.93,187,0.1379
84,33.4,2.94,162,0.138
84,33.4,3.76,130,0.1396
86,34.3,3.85,118,0.1412
95,34.9,4.08,101,0.1428
96,34.4,4.34,98,0.1445
96,33.6,3.59,103,0.1461
99,32.8,2.02,81,0.1449
100,32.6,0.85,159,0.141
100,32.4,0.8,270,0.137
100,32.3,2.53,288,0.1331
99,32.8,3.4,284,0.1291
99,33.2,4.12,264,0.1252
100,33.4,4.2,258,0.1212
100,33.1,4.27,249,0.1173
100,32.9,4.56,255,0.1133
100,32.5,4.92,275,0.1094
98,31.9,5.05,297,0.1054
98,31.5,5.3,306,0.1495
97,31.6,5.74,311,0.2417
97,31.6,6.88,311,0.3338
95,31.8,7.39,320,0.4259
90,31.6,9.6,329,0.5181
82,30.3,8.94,324,0.6102
72,28.9,9.26,315,0.7024
76,29.9,9.71,302,0.7592
78,30.3,8.18,297,0.7806
72,29.8,8.62,292,0.8021
71,28.8,9.18,286,0.8235
76,28.8,8.88,284,0.845
80,28.4,8.61,283,0.8665
83,27.1,9.48,284,0.8734
80,25.4,9.68,286,0.8659
76,23.1,9.81,287,0.8583
78,22.9,9.08,281,0.8507
84,24.0,8.23,275,0.8432
85,24.8,8.13,275,0.8356
86,24.8,8.12,274,0.8281
87,24.7,7.68,278,0.8205
89,24.3,7.82,274,0.813
88,23.8,8.04,276,0.8054
86,23.0,8.32,273,0.7978
86,22.3,8.2,270,0.8021
81,22.8,8.3,269,0.8182
83,23.2,8.43,265,0.8342
78,23.2,8.16,263,0.8503
70,22.7,8.91,268,0.8664
60,20.4,10.47,280,0.8825
53,18.6,10.68,277,0.8985
53,18.9,11.31,278,0.9071
55,19.3,10.72,274,0.908
56,19.2,10.3,269,0.909
60,19.2,10.03,265,0.91
62,18.7,9.34,260,0.911
65,18.4,9.63,260,0.912
70,19.2,9.01,253,0.8951
68,18.5,9.46,257,0.8604
68,18.1,9.08,259,0.8256
68,17.7,9.23,265,0.7909
69,17.7,9.14,265,0.7562
72,18.6,8.3,261,0.7214
75,19.4,7.91,252,0.6867
77,20.1,7.83,243,0.6519
79,20.3,8.45,243,0.6172
77,20.0,8.48,251,0.5824
76,20.1,7.87,252,0.5477
76,20.3,8.51,250,0.544
75,20.4,6.82,248,0.5712
76,20.7,7.69,249,0.5985
74,20.6,8.43,248,0.6258
68,19.8,8.88,256,0.6531
64,19.5,8.88,262,0.6803
59,19.1,8.75,259,0.7076
55,18.2,8.8,262,0.6965
64,21.0,9.36,263,0.6469
68,21.9,8.6,261,0.5973
68,22.2,8.27,262,0.5477
75,23.1,5.98,249,0.4981
76,22.8,7.81,268,0.4485
73,19.5,7.51,273,0.4261
72,18.6,8.39,285,0.4307
69,16.7,8.1,294,0.4353
72,15.9,7.43,294,0.44
74,15.6,7.07,295,0.4446
73,14.7,7.22,292,0.4492
69,12.3,7.39,293,0.4538
67,11.1,7.0,292,0.4585
67,10.7,6.67,289,0.4631
68,10.5,6.29,288,0.4677
68,10.5,5.77,284,0.4724
71,11.0,5.32,282,0.4599
72,12.1,5.41,298,0.4303
72,12.4,5.28,297,0.4007
68,13.1,4.27,291,0.3711
55,10.3,6.05,304,0.3415
50,9.7,6.84,308,0.3119
46,8.2,6.39,310,0.2823
49,9.7,5.45,316,0.2472
44,8.7,5.61,301,0.2066
49,10.2,5.64,307,0.1659
46,9.1,5.48,291,0.1253
49,9.6,3.4,332,0.0847
60,11.6,3.88,35,0.0441
61,9.7,4.18,349,0.0434
65,10.0,4.62,5,0.0828
70,10.2,4.28,11,0.1221
66,9.3,4.6,360,0.1615
71,11.1,4.83,354,0.2008
69,10.5,4.87,341,0.2402
68,8.6,5.27,327,0.2795
67,7.8,6.18,331,0.3188
67,8.0,5.99,327,0.3582
69,8.3,6.42,323,0.3975
71,8.1,6.51,317,0.4369
72,7.7,6.54,309,0.4659
70,6.6,6.59,312,0.4847
69,6.9,6.39,310,0.5034
63,6.9,5.85,303,0.5222
52,4.9,5.44,306,0.5409
41,1.6,5.25,301,0.5597
34,-1.1,4.92,297,0.5784
31,-2.2,4.46,286,0.5517
30,-2.8,4.33,277,0.4795
30,-2.6,3.4,270,0.4073
30,-2.7,3.42,255,0.3352
31,-2.3,3.71,243,0.263
38,-1.5,2.76,226,0.1908
47,0.1,4.78,164,0.1563
45,-0.1,5.47,162,0.1597
45,-0.1,5.48,165,0.163
44,0.6,6.42,162,0.1663
49,4.0,6.36,167,0.1696
61,9.0,6.28,166,0.173
71,12.7,6.35,154,0.1763
76,15.0,6.58,152,0.1796
80,16.1,6.19,149,0.1829
80,16.9,6.38,145,0.1863
80,17.5,6.31,139,0.1896
80,18.5,5.8,135,0.1896
83,20.5,5.96,125,0.1862
84,21.1,5.13,123,0.1828
79,21.2,4.91,123,0.1794
78,21.6,3.89,119,0.176
72,20.9,3.88,125,0.1726
71,20.9,3.41,130,0.1692
64,20.0,2.16,146,0.1561
59,19.4,2.0,177,0.1332
60,19.6,2.66,214,0.1103
66,21.7,2.42,240,0.0875
74,23.4,3.82,264,0.0646
85,24.9,5.15,278,0.0417
87,24.5,5.97,261,0.0709
89,24.1,6.71,267,0.1519
88,24.4,9.07,263,0.233
81,22.1,9.79,262,0.3141
77,20.9,9.82,266,0.3952
76,20.1,9.81,268,0.4763
77,20.0,9.7,270,0.5573
80,20.1,9.3,270,0.6384
86,20.9,8.81,267,0.7195
88,21.3,8.92,266,0.8006
90,21.3,8.81,267,0.8816
90,21.2,8.91,273,0.8966
88,22.0,8.67,277,0.8453
87,21.5,8.39,278,0.7941
80,21.8,8.05,276,0.7428
70,21.5,7.05,277,0.6916
58,19.3,6.46,278,0.6403
47,16.4,7.11,272,0.5891
43,15.8,8.5,271,0.5499
42,14.7,9.8,272,0.5229
47,16.8,9.63,274,0.4959
47,16.4,8.84,275,0.4688
57,18.4,7.42,275,0.4418
62,18.2,8.01,290,0.4148
71,18.2,6.41,293,0.4051
74,18.4,6.96,305,0.4128
72,16.1,7.18,309,0.4204
71,14.4,6.2,308,0.4281
71,13.2,6.09,312,0.4358
72,12.6,5.84,308,0.4434
76,13.4,5.45,313,0.4511
80,14.1,4.55,303,0.4588
79,14.3,4.18,281,0.4664
80,14.1,5.5,269,0.4741
81,14.1,6.31,273,0.4818
75,13.0,7.43,275,0.5098
72,11.5,8.1,269,0.558
72,10.5,8.84,265,0.6063
66,8.9,9.63,265,0.6545
57,6.2,10.48,277,0.7028
55,5.1,10.64,279,0.751
52,4.1,10.21,278,0.7993
48,3.7,9.8,278,0.8237
46,3.3,9.48,277,0.8243
46,3.5,9.1,272,0.8249
47,3.6,8.7,269,0.8254
48,3.3,8.92,266,0.826
51,4.0,7.91,261,0.8266
61,6.1,9.22,255,0.8126
62,5.8,9.44,255,0.784
63,5.3,9.28,259,0.7555
64,5.7,8.67,263,0.7269
67,6.4,8.18,258,0.6984
68,6.7,7.6,254,0.6698
69,7.5,6.84,258,0.6413
70,8.3,6.45,263,0.6127
65,7.0,7.13,276,0.5842
63,6.3,7.22,274,0.5556
60,4.9,7.1,272,0.5271
60,4.6,6.34,264,0.5373
67,5.0,7.53,253,0.5863
66,4.4,7.52,256,0.6352
62,4.3,7.75,263,0.6842
48,0.6,8.43,280,0.7332
42,-1.5,8.73,283,0.7822
39,-2.8,8.81,285,0.8311
38,-2.3,9.29,284,0.8282
39,-2.4,9.63,285,0.7732
38,-2.3,9.87,288,0.7183
40,-1.8,9.43,287,0.6633
39,-2.0,9.46,290,0.6084
46,0.6,8.08,285,0.5534
54,2.4,7.52,274,0.5297
57,3.3,7.51,272,0.5371
60,4.0,7.6,271,0.5445
62,4.3,7.9,270,0.552
64,4.2,7.82,266,0.5594
67,4.6,8.04,264,0.5669
71,5.4,8.01,267,0.5743
74,6.1,7.86,263,0.5818
75,6.6,7.89,261,0.5892
75,6.5,7.55,259,0.5966
75,6.4,7.54,255,0.6041
75,6.6,7.52,256,0.6242
81,7.2,7.53,253,0.6571
80,7.4,7.63,248,0.69
70,7.7,6.8,244,0.7228
58,7.9,6.91,248,0.7557
49,7.5,8.0,257,0.7885
40,5.8,8.2,257,0.8214
35,5.0,7.13,248,0.8043
31,3.4,6.34,232,0.7373
28,2.2,7.0,224,0.6702
28,2.0,7.29,222,0.6032
31,3.0,7.07,209,0.5362
35,3.5,7.76,202,0.4691
42,5.9,8.25,199,0.4393
36,3.0,8.77,204,0.4466
36,2.4,9.21,206,0.4539
36,2.9,9.12,206,0.4613
36,2.7,9.5,210,0.4686
35,3.1,9.6,211,0.4759
35,2.7,9.27,215,0.4833
